cci_n,roc_k,rsi_n,will_n,change_n,n_estimators,symbol,f1_score,precision,recall,support,train_f1
20,8,9,9,10,64,BTCUSDT,0.6956521739130435,0.3780487804878049,0.4189189189189189,74.0,1.0
18,16,25,17,7,252,BNBUSDT,0.6153846153846154,0.0,0.0,0.0,0.0
22,14,28,23,2,229,ETHUSDT,0.56,0.36538461538461536,0.24675324675324675,77.0,1.0
30,11,29,24,8,70,DOGEUSDT,0.5217391304347826,0.5,0.45081967213114754,122.0,1.0
20,8,30,22,5,50,XRPUSDT,0.5040650406504065,0.0,0.0,0.0,0.0
20,19,22,18,5,163,ADAUSDT,0.49142857142857144,0.0,0.0,0.0,0.0
28,13,13,23,8,197,TRUMPUSDT,0.4882943143812709,0.0,0.0,0.0,0.0
33,11,30,28,5,242,PEPEUSDT,0.48559670781893005,0.4423076923076923,0.36507936507936506,63.0,1.0
33,20,5,19,9,146,OMUSDT,0.48372093023255813,0.0,0.0,0.0,0.0
19,17,14,26,4,180,PNUTUSDT,0.48231511254019294,0.0,0.0,0.0,0.0
18,11,13,14,5,269,TRXUSDT,0.47058823529411764,0.46938775510204084,0.3709677419354839,124.0,1.0
24,10,27,15,5,227,LTCUSDT,0.4626865671641791,0.0,0.0,0.0,1.0
21,16,15,25,8,74,SOLUSDT,0.45962732919254656,0.4666666666666667,0.4083333333333333,120.0,1.0
16,14,18,21,4,153,SUIUSDT,0.4435146443514644,0.39855072463768115,0.41044776119402987,134.0,1.0
14,10,9,22,3,295,WIFUSDT,0.3902439024390244,0.0,0.0,0.0,0.0
40,20,30,25,7,300,AVAXUSDT,0.3878787878787879,0.3333333333333333,0.30434782608695654,69.0,1.0
27,13,11,13,6,295,LINKUSDT,0.38333333333333336,0.3728813559322034,0.3055555555555556,72.0,1.0
35,18,11,20,8,200,MUBARAKUSDT,0.35714285714285715,0.0,0.0,0.0,1.0
20,3,30,19,2,158,USDCUSDT,0.0,0.0,0.0,0.0,0.0
32,15,20,8,9,157,FDUSDUSDT,0.0,0.0,0.0,0.0,0.0
