symbol,direction,entry_time,close_time,entry_price,close_price,pnl,balance
GASUSDT,LONG,2025-08-05T00:05:00+00:00,2025-08-05T01:05:00+00:00,3.225,3.279,79.68744186046484,10079.687441860466
HFTUSDT,LONG,2025-08-06T20:24:00+00:00,2025-08-06T22:46:00+00:00,0.07674,0.0749,-124.82420129330745,9954.863240567158
MOVRUSDT,LONG,2025-08-08T16:17:00+00:00,2025-08-08T16:54:00+00:00,7.202,6.772,-301.0438001258921,9653.819440441266
1000RATSUSDT,LONG,2025-08-09T15:39:00+00:00,2025-08-09T16:02:00+00:00,0.01737,0.01763,68.36037945735606,9722.179819898622
USTCUSDT,LONG,2025-08-09T16:02:00+00:00,2025-08-09T17:11:00+00:00,0.014884,0.014448,-145.20060497054524,9576.979214928077
GMXUSDT,LONG,2025-08-09T19:35:00+00:00,2025-08-09T20:14:00+00:00,16.669,16.852,48.718436265714644,9625.697651193792
GLMUSDT,LONG,2025-08-10T00:01:00+00:00,2025-08-10T00:44:00+00:00,0.27855,0.27901,4.09452401110917,9629.7921752049
ARKUSDT,LONG,2025-08-10T00:06:00+00:00,2025-08-10T00:44:00+00:00,0.4969,0.4813,-154.88752901547824,9474.904646189423
SAGAUSDT,LONG,2025-08-10T01:17:00+00:00,2025-08-10T14:19:00+00:00,0.3101,0.2874,-350.44314362937627,9124.461502560047
MYROUSDT,LONG,2025-08-10T14:19:00+00:00,2025-08-10T14:32:00+00:00,0.02297,0.02331,66.30535796460919,9190.766860524656
RPLUSDT,LONG,2025-08-10T15:16:00+00:00,2025-08-10T17:21:00+00:00,8.785,8.826,17.761980831487445,9208.528841356143
BSVUSDT,LONG,2025-08-11T00:08:00+00:00,2025-08-11T02:44:00+00:00,30.5,30.03,-74.60599107777527,9133.922850278368
KAVAUSDT,SHORT,2025-08-11T12:11:00+00:00,2025-08-11T12:48:00+00:00,0.3628,0.375,-157.28977685359723,8976.633073424771
FIOUSDT,LONG,2025-08-11T12:48:00+00:00,2025-08-11T13:45:00+00:00,0.0216,0.02152,-20.561475216293346,8956.071598208478
MBOXUSDT,LONG,2025-08-11T13:45:00+00:00,2025-08-11T14:16:00+00:00,0.0616,0.0617,3.6926604233858016,8959.764258631863
UNIUSDT,LONG,2025-08-11T16:00:00+00:00,2025-08-11T16:18:00+00:00,11.437,11.684,93.12749357840947,9052.891752210273
CYBERUSDT,LONG,2025-08-12T07:30:00+00:00,2025-08-12T07:44:00+00:00,4.473,4.017,-464.8851173036425,8588.006634906631
CATIUSDT,LONG,2025-08-12T07:39:00+00:00,2025-08-12T08:11:00+00:00,0.10108,0.09963,-68.52738129273548,8519.479253613896
CHESSUSDT,LONG,2025-08-12T12:27:00+00:00,2025-08-12T13:16:00+00:00,0.07461,0.07276,-108.98835867998699,8410.490894933908
ETHFIUSDT,LONG,2025-08-12T12:30:00+00:00,2025-08-12T13:16:00+00:00,1.222,1.2326,33.52770645578501,8444.018601389693
LISTAUSDT,LONG,2025-08-14T09:56:00+00:00,2025-08-14T10:15:00+00:00,0.3139,0.3118,-31.61167256845188,8412.406928821241
CHESSUSDT,LONG,2025-08-14T10:33:00+00:00,2025-08-14T11:11:00+00:00,0.0787,0.07685,-102.20058943729727,8310.206339383943
MEMEUSDT,SHORT,2025-08-14T12:33:00+00:00,2025-08-14T13:11:00+00:00,0.001953,0.001948,7.317917492305458,8317.52425687625
NEIROUSDT,SHORT,2025-08-14T12:33:00+00:00,2025-08-14T13:11:00+00:00,0.0004075,0.0004024,48.699236668896894,8366.223493545147
GASUSDT,LONG,2025-08-16T00:01:00+00:00,2025-08-16T01:09:00+00:00,3.453,3.448,-9.40128016207745,8356.82221338307
OGNUSDT,LONG,2025-08-16T16:55:00+00:00,2025-08-16T17:15:00+00:00,0.0692,0.0755,376.9095886893261,8733.731802072396
1000RATSUSDT,SHORT,2025-08-16T17:20:00+00:00,2025-08-16T17:58:00+00:00,0.01897,0.01907,-26.52255253841771,8707.209249533978
SKLUSDT,SHORT,2025-08-17T00:12:00+00:00,2025-08-17T00:23:00+00:00,0.03797,0.03738,64.1930230503568,8771.402272584335
OGNUSDT,LONG,2025-08-19T15:28:00+00:00,2025-08-19T19:52:00+00:00,0.0648,0.0632,-111.75416228774051,8659.648110296595
OGNUSDT,LONG,2025-08-20T08:04:00+00:00,2025-08-20T10:51:00+00:00,0.0809,0.0842,173.0837799924274,8832.731890289022
CFXUSDT,LONG,2025-08-20T11:50:00+00:00,2025-08-20T16:03:00+00:00,0.19378,0.18712,-155.2578940554477,8677.473996233573
MEMEUSDT,SHORT,2025-08-21T08:49:00+00:00,2025-08-21T12:11:00+00:00,0.00267,0.002659,14.411106814269516,8691.885103047844
1000RATSUSDT,LONG,2025-08-22T02:38:00+00:00,2025-08-22T14:03:00+00:00,0.01858,0.01874,33.93296974352423,8725.818072791368
SYSUSDT,LONG,2025-08-22T14:03:00+00:00,2025-08-22T14:38:00+00:00,0.04279,0.04347,65.81538516843348,8791.6334579598
