Metric,Value
run_id,backtest_20250527_010224
strategy_name,Rebalancing Strategy
date_range_start,2023-01-01 00:00:00
date_range_end,2023-01-05 03:00:00
initial_portfolio_value_usdt,10000.0
final_portfolio_value_usdt,11089.145330884028
total_net_pnl_usdt,1089.1453308840282
total_net_pnl_percent,10.891453308840282
max_drawdown_percent,-6.64655467277745
sharpe_ratio,0.7963172459754572
sortino_ratio,2.1576831081153327
total_trades,300
winning_trades,79
losing_trades,21
win_rate_percent,79.0
profit_factor,49.22641576047981
average_trade_pnl_usdt,3.5321766469493947
average_winning_trade_usdt,4.563820481619396
average_losing_trade_usdt,-0.348769207285368
ratio_avg_win_avg_loss,13.085502923671848
average_trade_duration_hours,N/A
longest_trade_duration_hours,N/A
total_commissions_usdt,67.99534699273548
total_slippage_usdt,48.56810499481108
config_target_weights_normal,"{'BTC_SPOT': 0.6, 'BTC_LONG5X': 0.2, 'BTC_SHORT5X': 0.2}"
config_target_weights_safe,"{'BTC_SPOT': 0.8, 'BTC_LONG5X': 0.05, 'BTC_SHORT5X': 0.15}"
config_rebalance_threshold,0.01
config_taker_commission_rate,0.0007
config_maker_commission_rate,0.0002
config_used_maker_fees,False
config_slippage_percentage,0.0005
config_price_source,close
config_slippage_model,percentage
config_risk_free_rate_annual,0.0
config_annualization_factor,252
config_circuit_breaker_threshold_percent,0.1
config_margin_usage_safe_mode_enter_threshold,0.7
config_margin_usage_safe_mode_exit_threshold,0.5
num_circuit_breaker_triggers,0
num_safe_mode_entries,0
time_steps_in_safe_mode,0
