Metric,Value
run_id,backtest_20250529_194302
strategy_name,Rebalancing Strategy
date_range_start,2025-04-28 19:00:00
date_range_end,2025-05-26 22:40:00
initial_portfolio_value_usdt,1000
final_portfolio_value_usdt,993.3598117843492
total_net_pnl_usdt,-6.640188215650824
total_net_pnl_percent,-0.6640188215650824
max_drawdown_percent,-0.586718501328054
sharpe_ratio,-0.25278209261691625
sortino_ratio,-0.3041050547221685
total_trades,309
winning_trades,55
losing_trades,48
win_rate_percent,53.398058252427184
profit_factor,44.34388090384044
average_trade_pnl_usdt,0.2871711804880612
average_winning_trade_usdt,0.5502008962181087
average_losing_trade_usdt,-0.014217035452618293
ratio_avg_win_avg_loss,38.70011424335166
average_trade_duration_hours,N/A
longest_trade_duration_hours,N/A
total_commissions_usdt,2.3857072694170456
total_slippage_usdt,1.704076621012178
config_target_weights_normal,"{'BTC_SPOT': 0.65, 'BTC_LONG5X': 0.11, 'BTC_SHORT5X': 0.24}"
config_target_weights_safe,"{'BTC_SPOT': 0.65, 'BTC_LONG5X': 0.11, 'BTC_SHORT5X': 0.24}"
config_rebalance_threshold,0.01
config_taker_commission_rate,0.0007
config_maker_commission_rate,0.0002
config_used_maker_fees,False
config_slippage_percentage,0.0005
config_price_source,close
config_slippage_model,percentage
config_risk_free_rate_annual,0.0
config_annualization_factor,252.0
config_main_asset_symbol,BTC
config_circuit_breaker_threshold_percent,0.1
config_margin_usage_safe_mode_enter_threshold,0.7
config_margin_usage_safe_mode_exit_threshold,0.5
config_min_rebalance_interval_minutes,10
num_circuit_breaker_triggers,0
num_safe_mode_entries,0
time_steps_in_safe_mode,0
