number,value,datetime_start,datetime_complete,duration,params_min_order_notional_usdt,params_min_rebalance_interval_minutes,params_rebalance_threshold,params_spot_pct,state
92,-0.05007218411015266,2025-06-11 19:26:48.348861,2025-06-11 19:26:49.406791,0 days 00:00:01.057930,29.595662691889046,172,0.03262443547939195,0.7,COMPLETE
177,-0.051214182808223055,2025-06-11 19:28:16.336210,2025-06-11 19:28:17.419789,0 days 00:00:01.083579,36.29887743339207,176,0.007054311735069925,0.65,COMPLETE
181,-0.051214182808223055,2025-06-11 19:28:20.736812,2025-06-11 19:28:21.713430,0 days 00:00:00.976618,37.01576414714163,176,0.007390893504141944,0.65,COMPLETE
192,-0.051214182808223055,2025-06-11 19:28:32.785602,2025-06-11 19:28:33.778018,0 days 00:00:00.992416,36.263036364484044,177,0.009035541865120641,0.65,COMPLETE
172,-0.051214182808223055,2025-06-11 19:28:11.037154,2025-06-11 19:28:11.996266,0 days 00:00:00.959112,37.317616330995655,176,0.009578454974102087,0.65,COMPLETE
132,-0.051214182808223055,2025-06-11 19:27:29.048919,2025-06-11 19:27:30.175043,0 days 00:00:01.126124,36.89573575134028,177,0.033436626678468105,0.65,COMPLETE
131,-0.051214182808223055,2025-06-11 19:27:27.946309,2025-06-11 19:27:29.048919,0 days 00:00:01.102610,37.12855367209178,177,0.033062184891218184,0.65,COMPLETE
180,-0.051214182808223055,2025-06-11 19:28:19.624416,2025-06-11 19:28:20.736812,0 days 00:00:01.112396,37.312565392753186,176,0.007374645385266103,0.65,COMPLETE
173,-0.051214182808223055,2025-06-11 19:28:11.996266,2025-06-11 19:28:13.114899,0 days 00:00:01.118633,37.08359433474242,176,0.008770984224441582,0.65,COMPLETE
183,-0.051214182808223055,2025-06-11 19:28:22.875369,2025-06-11 19:28:23.796939,0 days 00:00:00.921570,37.136412196532184,176,0.007722809888707561,0.65,COMPLETE
