symbol,total_klines,first_kline_utc,last_kline_utc
1000000BOBUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000000MOGUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000BONKUSDC,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000BONKUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000CATUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000CHEEMSUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000FLOKIUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000LUNCUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000PEPEUSDC,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000PEPEUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000RATSUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000SATSUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000SHIBUSDC,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000SHIBUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000WHYUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000XECUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1000XUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1INCHUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
1MBABYDOGEUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
A2ZUSDT,47040,2025-07-30 10:00:00+02,2025-09-01 01:59:00+02
AAVEUSDC,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
AAVEUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
ACEUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
ACHUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
ACTUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
ACXUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
ADAUSDC,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
ADAUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
AERGOUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
AEROUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
AEVOUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
AGLDUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
AGTUSDT,89280,2025-07-01 02:00:00+02,2025-09-01 01:59:00+02
